Institute,Branch,Seat_Type,Gender,n_years,last_year,last_closing_rank,next_year,predicted_closing_rank,lower_band,upper_band,slope_per_year,r_squared,method
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",EWS,Gender-Neutral,1,2021,2615.0,2022,2615.0,2092.0,3138.0,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",OBC-NCL,Gender-Neutral,1,2021,6271.0,2022,6271.0,5016.8,7525.2,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,Female-only (including Supernumerary),1,2021,29247.0,2022,29247.0,23397.6,35096.4,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",OPEN,Gender-Neutral,1,2021,17961.0,2022,17961.0,14368.8,21553.2,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",SC,Female-only (including Supernumerary),1,2021,2339.0,2022,2339.0,1871.2,2806.8,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",SC,Gender-Neutral,1,2021,252.0,2022,252.0,201.6,302.4,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,1,2021,1279.0,2022,1279.0,1023.2,1534.8,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",EWS,Gender-Neutral,5,2024,3467.0,2025,4406.0581395349,3169.279296719721,5642.836982350079,264.546511627907,0.3768038495678362,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",OBC-NCL,Female-only (including Supernumerary),1,2020,8941.0,2021,8941.0,7152.8,10729.2,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",OBC-NCL,Gender-Neutral,5,2024,8177.0,2025,8419.034883720917,6893.798971469196,9944.270795972638,281.1279069767442,0.3098482524647229,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",OPEN,Female-only (including Supernumerary),5,2024,25278.0,2025,28177.686046511866,24230.113071707005,32125.259021316728,1331.8488372093027,0.6006789026485639,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",OPEN,Gender-Neutral,5,2024,22390.0,2025,22967.6511627906,18824.60078345021,27110.70154213099,430.7209302325582,0.12497989127845899,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",SC,Female-only (including Supernumerary),4,2024,4991.0,2025,6347.6571428573225,5413.369646119918,7281.944639594727,913.0571428571425,0.8892080200228016,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",SC,Gender-Neutral,5,2024,4321.0,2025,4710.197674418567,3886.9725019351868,5533.422846901947,392.05813953488376,0.7498328799041694,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",ST,Female-only (including Supernumerary),1,2019,1135.0,2020,1135.0,908.0,1362.0,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,5,2024,764.0,2025,978.5116279069698,572.3780169169261,1384.6452388970135,-31.79069767441861,0.07490633446279094,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,6,2024,2090.0,2025,2557.666666666686,1964.5571407873051,3150.7761925460673,134.42857142857144,0.3653166223716652,linear_regression
Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,"Common (pre-2018, no Female-only pool)",2,2017,3671.0,2018,3671.0,2936.8,4405.2,0.0,,carry_forward
Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),7,2024,8178.0,2025,9465.85714285716,8382.306062566044,10549.408223148275,398.96428571428567,0.675666912724854,linear_regression
