Institute,Branch,Seat_Type,Gender,Year,Opening_Rank,Closing_Rank,Demand_Score,NIRF_Score,Desirability_Score,Pool_Max_Closing_Rank
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,1745,1925,0.4996177370030581,0.9274193548387096,0.7135185459208839,3853
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,"Common (pre-2018, no Female-only pool)",2016,4996,6238,0.2262996941896025,0.9274193548387096,0.5768595245141561,9873
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,"Common (pre-2018, no Female-only pool)",2016,1019,1184,0.4449541284403669,0.9274193548387096,0.6861867416395383,2279
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering with M.Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,"Common (pre-2018, no Female-only pool)",2016,321,530,0.5184331797235022,0.9274193548387096,0.7229262672811059,1029
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Integrated Master of Technology)",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,2070,2670,0.2415902140672783,0.9274193548387096,0.584504784452994,3853
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Integrated Master of Technology)",OPEN,"Common (pre-2018, no Female-only pool)",2016,5095,6385,0.2014525993883792,0.9274193548387096,0.5644359771135444,9873
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Integrated Master of Technology)",SC,"Common (pre-2018, no Female-only pool)",2016,1611,1852,0.1081804281345565,0.9274193548387096,0.5177998914866331,2279
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Integrated Master of Technology)",ST,"Common (pre-2018, no Female-only pool)",2016,163,1029,0.0875576036866359,0.9274193548387096,0.5074884792626728,1029
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Integrated Master of Technology)",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,3212,3518,0.0355504587155963,0.9274193548387096,0.481484906777153,3853
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Integrated Master of Technology)",OPEN,"Common (pre-2018, no Female-only pool)",2016,7089,8781,0.0160550458715595,0.9274193548387096,0.4717372003551346,9873
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Integrated Master of Technology)",SC,"Common (pre-2018, no Female-only pool)",2016,1545,2001,0.0546636085626911,0.9274193548387096,0.4910414817007004,2279
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Integrated Master of Technology)",ST,"Common (pre-2018, no Female-only pool)",2016,257,345,0.7004608294930876,0.9274193548387096,0.8139400921658986,1029
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Integrated Master of Technology)",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,465,970,0.779434250764526,0.9274193548387096,0.8534268028016179,3853
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Integrated Master of Technology)",OPEN,"Common (pre-2018, no Female-only pool)",2016,1127,1464,0.8191896024464832,0.9274193548387096,0.8733044786425964,9873
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Integrated Master of Technology)",SC,"Common (pre-2018, no Female-only pool)",2016,538,735,0.698394495412844,0.9274193548387096,0.8129069251257768,2279
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Integrated Master of Technology)",ST,"Common (pre-2018, no Female-only pool)",2016,492,854,0.1820276497695853,0.9274193548387096,0.5547235023041475,1029
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,3207,3796,0.0045871559633027,0.9274193548387096,0.4660032554010062,3853
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",OPEN,"Common (pre-2018, no Female-only pool)",2016,8027,9805,0.0045871559633027,0.9274193548387096,0.4660032554010062,9873
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",SC,"Common (pre-2018, no Female-only pool)",2016,1811,2279,0.0007645259938837,0.9274193548387096,0.4640919404162967,2279
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",ST,"Common (pre-2018, no Female-only pool)",2016,18,445,0.599078341013825,0.9274193548387096,0.7632488479262673,1029
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",OBC-NCL,"Common (pre-2018, no Female-only pool)",2016,3739,3853,0.0038226299694189,0.9274193548387096,0.4656209924040643,3853
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",OPEN,"Common (pre-2018, no Female-only pool)",2016,8101,9873,0.003440366972477,0.9274193548387096,0.4654298609055933,9873
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",SC,"Common (pre-2018, no Female-only pool)",2016,2199,2234,0.0015290519877675,0.9274193548387096,0.4644742034132386,2279
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",ST,"Common (pre-2018, no Female-only pool)",2016,260,446,0.59715821812596,0.9274193548387096,0.7622887864823349,1029
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),"Common (pre-2018, no Female-only pool)",2016,112,112,0.3137393767705382,0.4274193548387096,0.3705793658046239,190
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),"Common (pre-2018, no Female-only pool)",2016,26,26,0.6076158940397351,0.4274193548387096,0.5175176244392223,58
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),"Common (pre-2018, no Female-only pool)",2016,22,22,0.6506622516556291,0.6935483870967742,0.6721053193762017,58
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),"Common (pre-2018, no Female-only pool)",2016,58,58,0.588526912181303,0.6935483870967742,0.6410376496390386,190
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),"Common (pre-2018, no Female-only pool)",2016,89,89,0.4284702549575071,0.6935483870967742,0.5610093210271407,190
